Comment,Score
"Не успел я отойти от ""50 оттенков серого"", как узнал о съемках 2 части. Серьезно, их даже 5 ""Золотых Малин"" не остановили. Конечно, ведь фильм приурочен ко Дню Всех Влюбленных. Какая ирония. Казалось бы, чем еще можно испортить, и так кислый, фильм? Как бы это странно не звучало, но сиквел лучше оригинала. К сожалению, не на много. Но обо всем по порядку. СпойлерИтак, фильм является экранизацией уже второй книги. Снимали его уже другие люди, в надежде не повторить ошибок прошлого. Не буду углубляться в сюжет. Опишу его одним предложением. Курочки дерутся за петушка. В отличие от 1 части, эта смотрится более здраво. Наконец то начали раскрывать личность Грея и некую философию (самому смешно). Или уничтожать? Судите сами. Семена ''грозной стервы'' и ''трепетного парня'' были посеяны ранее. Если к придурковатости Анастейши я привык, то видеть Грея этаким подкаблучником было неприятно. До этого он, хотя бы, брутально смотрелся. Теперь же, похож на типичного красавчика, готового на все ради своей возлюбленной. Ничего не поделаешь, зато фильм можно смело разбирать на цитаты. Вердикт: лучше 1 части, но проблемы те же. 5/10",5
"Этой частью я восхищаюсь. Много вырезали интересных сцен, по этому с нетерпением жду выход на DVD. Здесь много эмоций, чувств и домашнего уюта. Всю книгу в фильм не вместить, а режиссер внес очень много моментов по книге и это очень радует. В общем 10 из 10. P.S. Фоули (режиссер) не при чем, спасибо Юниверсал, они убрали всё интересное.",10
"Не скажу, что эта часть мне понравилась больше, чем первая. Нет, даже наоборот, мне было немного скучновато. Более-менее какая-то движуха начинается после часа просмотра, но до этого я почти спала, даже временами проматывала. Не знаю, неоднозначные чувства остались: когда читала книгу, то я не могла оторваться, меня захватывала каждая страничка, но вот фильм не вызывает такого же восторга. Конечно, к просмотру я советую, но не думаю, что вызовет огромное ""Ах"", в хорошем смысле этого слова, у большинства зрителей. 6/10.",6
"Будто небо и земля, в сравнении с первой частью. Взглядом можно заметить, что режиссер здесь другой. Эта часть прекрасна. Фильм очень понравился. Книга одно, но видя все на экране, впервые могу сказать, что не разочаровалась. Теперь лишь в ожидании третий части.",10
"Посмотрел вторую часть и ни капли ни разочаровался! Вы ждали вторую часть, ждали продолжения и получили! Не нужно слушать тех, кто начинает про книги рассказывать, книги это другое, а тут фильм. Если вы с нетерпением ждали вторую часть, то смотрите, не пожалеете! Надеюсь, что будет и третья часть!)",10
"Мне одной это напомнило фанфик? Такое чувство, что сценарий писала девочка-подросток. Я не читала книги, но по двум фильмам я так и не могу уловить суть и смысл. Бесспорно, картинка красивая, Грей сексуален и музыкальное сопровождение на уровне. Фильм чисто для одиноких вечеров, когда хочется поверить в сказку.",5
"Фильм вызвал неоднозначное чувство. С одной стороны да, все супер романтично и офигенно, но с другой - такого не бывает. Вот девочка, на тебе все на блюдечке с голубой каемочкой. Фильм понравился. Эта часть лучше предыдущей.",7
"Посмотрев первую часть, я, честно говоря, ""немного"" удивилась. В голову сразу стали лезть вопросы, за что многие так полюбили этот фильм. Классный сюжет? Да, сюжет интересный, есть на что посмотреть, но поведение некоторых персонажей просто убило из-за чего и отношение сюжету чуть ухудшилось. Сами актёры большие молодцы, сыграли свои роли на ""Ура!"", а вот образы некоторых персонажей были просто не свойственны. А может они смотрели его из-за постельных сцен? Согласна, классно сделано. Но стоит ли любить фильм только из-за одних постельных сцен? По***ха вам в помощь в таком случае. Но не будем сильно унижать фильм. В общей картине фильм выдался неплохой, но если разбирать каждый его элемент на части, то всё не есть отлично. 8 из 10 первой части.Что же касается второй, то тут всё куда лучше. Актёрская игра пошла намного интереснее. Даже если где-то и были несостыковки в характере героев (например, в случае с Греем), то в дальнейшем всё объяснялось вполне логическим путём через психологию человека. Что же касается всего сюжета, хоть он был не таким захватывающим, то все, даже простые сцены, были обыграны очень грамотно и интересно. На фоне всего этого и постельные сцены казались более насыщенными. Может, им не сравниться с подобными сценами из первой части, но всё же на фоне актёрской игры и происходящих событий они были ни чуть не хуже, а может даже чуточку лучше. И даже несмотря на плохое качество (фильм к этому большой причастности не имеет), я ставлю второй части 10 из 10.",10
"Фильм мне очень понравился, только книга еще лучше! Его очень сильно укоротили и многое не показали, а моментов там еще очень много! Жаль, что так вышло, видимо денег мало! Фильм на твердую 4!",8
"Фильм - хорош. Конвергенция жизни и вымысла - чуть ли не идеальна. Героиня хороша - и в игре, и в перевоплощениях. Сюжетные линии - чёткие и логичные. Общее впечатление - никакое.",6
"Что-то совсем печаль беда. Книги не шедевр, но фильмы по ним лепят и того хуже. Героев переделали совсем, актёры не смогли выдать хоть каплю того, что нужно, кусками повытаскивали сцены из книги да и сняли ""и так сойдёт"". Важные моменты или пропустили, или переиначили до неузнаваемости. Трейлер раззадорил, а сам фильм лихо и молниеносно разочаровал. Не надо так.",1
"Этот фильм мне понравился больше, чем первая часть. Здесь фильм как-то более целостно снят, я хоть и читала книгу, но фильм старалась смотреть ""как в первый раз"". Мне показалось, что здесь не выбросили каких-то очень значимых моментов (не то, что в первой части). Но немного не хватило и здесь. Я поставила пятерку, но считаю, что с минусом. Достойный фильм, для приятного просмотра однозначно годен! СпойлерМои замечания:1. Мне показался Грей недостаточно жестким в сцене с укрощением Лейлы. И в целом в этой сцене не достаточно накала эмоций, скудновато. Лейла недостаточно сумасшедшая и опасная.2. Может я не очень рассмотрела, но Елена в исполнении Бессинджер получилась слишком холодная и безэмоциональная. А ведь после объявления о помолвке Грея ее должны были переполнять эмоции, да еще какие! Такая годами взрощенная рыбка с крючка сорвалась!3. Недостаточно показаны эмоции Грея, как волновался в начале фильма, как он боялся, что Ана откажет, как он нервно ждал ее ответа на предложение в конце фильма. Ведь показать несколько (считаю, что очень важных) моментов, по паре кадров всего, не увеличило бы длительность фильма, а суть раскрыло. Вот показали же, например, как он нервничал за ужином, когда официант возился с бутылкой. Еще бы пару моментов и фильм бы отличным!4. Также я считаю, что важно было показать как Хосе успокаивал Ану в ожидании Грея после катастрофы. И ревность Грея при появлении, когда он увидел как Хосе обнимает Ану. Это придало бы сцене с брелком с ответом Аны эмоциональной остроты. А так получилось сумбурно и пресно.",7
"До этого читала всю трилогию и, знаете, вторая книга мне понравилась больше, поэтому ждала выхода фильма. Но, к сожалению, он меня разочаровал. Кучу моментов вырезали, то, как обыграли сюжет, мне тоже очень не понравилось, некоторых персонажей вообще слили и будто фильм снимали наспех. Но последней каплей стала игра Дакоты. Если в первом фильме она более-менее вжилась в роль, то здесь, на мой взгляд, она вообще не парилась. Эмоций никаких, особенно в конце фильма, когда она разговаривала с Эленой. Не было той злости, резкости. Моя оценка 4/10.",4
"Чтобы первоклассно передать всю ""соль"", нужно снимать сериал. И это была бы экранизация! Ведь в начале первой части было озвучено, что фильм снят по мотивам романа Э.Л.Джеймс. Так что, ребята, не верьте людям, которые говорят, что это лажа! Фильм стоит того, чтобы его смотрели. Вот выйдет качественное видео - обязательно посмотрю ещё раз! Ставлю 9 из 10!",9
"Вчера посмотрела данный фильм. Мне очень фильм понравился. Не слушайте никого. Смотрите и наслаждайтесь отличным кино. Первая часть мне тоже нравится. Не понимаю, почему все так накинулись на режиссера. Жду третьей части.",10
"Набор романтических моментов двух влюбленных. Любителям дешевых мелодрам и БДСМ может и понравится. Красиво снято, но сюжет неинтересный. Промотала, но смотреть особо не стала. Альтернатива посмотреть хороший фильм и не терять время зря меня привлекает больше.",1
"Смотрела фильм в его премьеру! Очень понравился! Действительно, вторая часть намного лучше первой! Т.к длится она порядком больше по времени и взято больше с книги! Есть свои минусы и плюсы всё равно! Во-первых, что фильм обрезали, а во-вторых, можно было бы взять побольше с книги некоторых моментов. Но в целом всё отлично! Очень красивые наряды, машины, музыка... ммм! А какая показана природа в момент катания на яхте ""Грейс"", просто потрясающе! Но чтобы лучше понять фильм, прочитайте сначала книгу. Будет более понятно. ",10
"Не удержалась оставить отзыв. Вторая часть определенно снята намного лучше первой. Очень качественные сцены, особенно постельные. Музыка превосходная. Соглашусь с предыдущим отзывом. Я тоже улыбалась на протяжении всего фильма. Да, много сцен не вошло в фильм, но это не печально. Ведь те, кто читал книгу, все прекрасно поняли. Мне кажется, что люди, которые пишут плохие отзывы, немного не того ожидали от этого фильма. Я считаю как эротики, так и намек на БДСМ был. В меру... Но был. Это же все-таки не п**но фильм, а любовная история, которая, на мой взгляд, очень даже красивая. Фильм просто шикарный. Красивые наряды, дорогие машины, дома, яхты, а карнавал вообще - красота. Так что каждый, я думаю, вынесет свое с этого фильма. И все же, перед тем как смотреть этот фильм, лучше прочитать книгу. Тогда может и оценка фильма будет значительно больше. Всем удачи! Смотреть обязательно.",10
"Совершенно тупое и посредственное кино. После первой части была маленькая надежда на то, что со сменой режиссера и сценариста трилогия обретет хоть какой-то смысл и логику, но, что мы видим, конфликт длинной в 10 минут, после несколько тысяч половых актов, никак не связанных и даже не намекающих на БДСМ, разговоры а-ля ""Почему я не могу трогать тебя"". Идиотия, которая переросла в нечто большее чем фильм, хотя фильмом эту гниль назвать сложно, ох.. как сложно. Короче говоря, о музыкальном сопровождении, насколько бы не был плох первый фильм, от звания ""Днище года"" его спасла именно музыка, она была и вправду шикарной. Но в этой части, все оказалось куда хуже, несколько треков, отрывки которых пытались растянуть на весь фильм, друзья, это была явно плохая идея. Могу отметить несколько песен, но они явно не спасут бедственного положения картины.Актерская игра: Я обожаю Дакоту Джонсон и достаточное долгое время хвалила ее игру, но именно здесь она показала насколько ей нас*ать на фильм, не малейшего старания, премия Овощ года, поздравляю. Джейми Дорнан: ну тут все просто, зачем играть когда у тебя есть симпатичная мордашка и великолепное тело, женский мозг сделает все за тебя.Вывод: Всё плохо.",1
"Я посмотрела премьеру этого фильма, что первый, что второй фильм по-своему интересны, но всё же перед вторым я ""снимаю шляпу"", он даже парню моему понравился. Красивые сцены любовной драмы, насыщенные автором возможно своими желаниями либо фантазиями. Если кто-то его ещё не посмотрел, то советую всё же посмотреть и сами оцените.",10
"Вторая часть определенно лучше первой. Сказывается очень то, что разные режиссеры. Лично мне понравилась 2 часть больше первой, хорошо сняты постельные сцены и музыка в них огонь. Я весь фильм улыбалась оттого какие они милые и мурашки были. Я в восторге.",10
"Обидно, что именно такие фильмы ждут и они успешны в прокате. Первая часть не порадовала ни сюжетом ни актерской игрой, от этого ""шедевра"" ничего по-настоящему стоящего ждать не стоит.",1
"Очередной трэш, который и не трэш вовсе, но очередной проходной и шаблонный фильм с Дэнни Трехо и дело даже не в комиксанутости происходящего, а в игре всех без исключения актёров - она достойна школьного спектакля. Лоукостер одним словом).",1
"И снова комиксы и супергерои. Что-то уже данная тема надоедать начала своим однообразием. Средненький такой боевик, посмотрел и сразу забыл. Даже Д. Трехо не спас картину. Но любителям комиксов, я думаю, должен фильм понравиться.",4
"А меня зацепил этот фильм, в нем есть смысл. Актеры сыграли просто шикарно, здорово влились в атмосферу фильма, я им поверил. Сам сюжет чем-то напоминает фильм ""Марсианин"", но в ""Марсианине"" драматизма меньше и больше комедийности, тут как бы всё более серьезно и даже несколько трагично, что ли. Концовка мне не очень понравилась, можно было что-нибудь и получше придумать, но в любом случае я не зря потратил эти 2 часа, вполне доволен увиденным. 9/10 за сыроватую концовку.",9
"Кино не понравилось. Сюжет интересный, а исполнено попсово. Такой сочной девахе, конечно же, достался самец-качок из рекламы мужского нижнего белья. Было бы интереснее, посмотреть, как будут уживаться два совершенно разных человека. Красотка и ботан, или качок и какая-нибудь тихоня в очках. Вдобавок ко всему главный герой абсолютно без харизмы. Я даже не помню его лица.  СпойлерИ так осталось непонятно, почему же Артур выдал секрет.",1
"Фильм с большой натяжкой на раз! Это так и есть. Сюжет... ну прямо из пальца высосан, да и таких уже очень много снято! Игра актеров норм, спецэффекты норм, картинка норм, звук норм, но говорить что фильм бомба или просто отличный - язык не повернется, все предсказуемо, скучно, особенно первый час просмотра, нуднота. Если не жалко двух часов жизни, то смотрите, но советовать друзьям и пересматривать ни в коем случае не буду. 5 из 10.",5
"Посмотрев этот фильм, захотелось поставить на начало и пересмотреть ещё раз. В конце фильма слегка навевает грусть, но персонажи прожили счастливую жизнь. Рекомендую к просмотру!",10
"Есть фильмы, которые хочется пересматривать. К сожалению, этот - не из таких. Снят качественно, игра актёров в порядке, сюжет держит в напряжении, особенно первая половина. Не знаю, может потому, что Лоуренс мне не особо нравится (хоть она и актриса самого серьёзного уровня, много премий и наград), не героиня моего романа, или потому, что женщины как правило в реальной жизни поступают иначе, чем показано на экране... но не зацепило... да, это кино высокого уровня, проделан большой объём работы, но если уж сравнивать 2 драмы, которые вышли почти в одно время - ""Пассажиры"" и ""Прибытие"", то я бы порекомендовал второй вариант. Этому же фильму 3 из 5.",6
"Отличный фильм. В духе Стругацких. Хоть и не по их произведению. Идея банальна, но смотреть интересно. Действительно не очень логична концовка. Если бы снимали поклонники современных сериалов в стиле апокалипсис, то команду бы встретило племя первобытных дикарей. И разразилась бы какая-нибудь заварушка). А вообще очень поучительно и зрелищно. Казалось, что там можно показывать почти 2 часа, но все-таки есть в этом что-то...",10
"Фильм оставил приятное послевкусие, а это дорогого стоит. После этого не хочется обращать внимание на нестыковки, недоговорки и технические огрехи. Просто понравилось. Почему-то по анонсу показалось, что будет экшен, борьба с врагами и т.д. А тут в центре сюжета лавстори - меня это удивило приятно. Очень здорово передана его влюбленность: прямо видно, как он на нее надышаться не может... В общем, еще одна мелодрамка в мою копилку на случай, если захочется повздыхать. Но не приключения, не приключения...",10
"Замечательный, великолепный фильм, специально ждал в качестве, и хорошо что дождался. Вот такую фантастику я люблю, думал что сюжет скатится к финалу, как в большинстве фильмов, но тут ничуть не разочаровал. Да, были клишированные и предсказуемые моменты, но они ничуть не раздражали, а скорее воспринимались как должное. Обязательно рекомендую, один из лучших фильмов (и лучший из фантастических), что я видел за последнее время.",10
"Очень грустный фильм. В конце вроде бы всё сложилось хорошо, но все равно грустно. Навивает мысль о том, как мы ничтожно малы, на фоне космоса, наша жизнь и наши человеческие чувства. Однозначно фильм стоит смотреть!",10
"Фильм с одной стороны потрясающий, особенно первая часть. Как бы поступил человек на месте Джеймса. Не каждый бы решился на такой поступок. Со стороны мелодрамы получилось очень даже не плохо. Но вот приключения подкачали. Отчего все же произошли поломки, так и не раскрыли полностью эту часть фильма. Если поломки были настолько серьезные, то почему их так легко было починить. Но все же 9/10 за мелодраму. И да, уважаемые инженеры, программисты, если вы хотите правдоподобность, то взгляните внимательно на жанр, это фантастика! Если вам нужно без технических грехов, то смотрите документальные фильмы или фильмы основанные на реальных событиях.",9
"Фильм конечно годный, но всё же слишком много приземлённости и обыденной банальщины. Как будто они не на космическом корабле, а в общаге. Даже посуду била Аврора как истеричка. 4/5... за космос, за бесконечность Вселенной, за атмосферу нескончаемого дрейфа звёздных глубин.",8
"Фильм прекрасен. Хорошая идея, качественное исполнение. Декорации и графика на высоте. Даже Лоуренс, которая сейчас везде почти не раздражала.  СпойлерНемного подкачала банальность некоторых моментов сюжета: с самого начала ждал когда же она уже узнает, что это он ее разбудил. Естественно узнала, естественно конфликт, слезы, ругань. Непонятно отсутствие детей, могли бы родить мальчонку/девчонку и его запихнуть в стазис, что бы дите жило на новой планете. А так хорошие 8 из 10.",8
"Шикарный фильм, действительно стоит просмотра. Отношения главных героев, их переживания, эмоции, чувства показаны просто мастерски. Давно не смотрел подобных фильмов. 10 из 10.",10
"Вот если кому-то нравится фантастика, космические путешествия, захватывающие технологии, расстояния на световые года и криогенные сны, то этот фильм удовлетворит всё, да ещё и с бонусом. Так же есть что посмотреть и любителям романтики. Мне лично фильм понравился. Правда я бы вырезал последнюю сцену, на 1:46:40, по-моему, идеальный конец.",10
"О сюжете - остро напомнило ""Магелланово облако"" Станислава Лема, только соплей намного больше (ну, в хорошем смысле!) 4 из 5, ибо мой технарский зад ой как припекает. Но, НО! Атмосферно за счет картинки и особенно - музыки. Очень стильное кино получилось. Хочется пересматривать!",8
"Очень красивый качественный фильм. Сложно описать эмоции после просмотра. У главных героев получилось прожить счастливую жизнь там, где это казалось невозможным. Лично у меня в душе осталась печаль, фильм заставил грустить и переживать за героев. 10 из 10. Эта пара будет долго стоять у меня в голове, несмотря на то что это просто кино. Жаль что такого качества фильмов мало.",10
"Честно, говоря - фантастика на грани маразма. Но если не рассматривать это как серьезный фильм, то нужно посмотреть обязательно нытикам. Если у вас не сложилась жизнь - проблемы на работе, в семье, проблемы со здоровьем. Просто посмотрите и сделайте переоценку ценностей. Цените то, что имеете. Поставьте себя на место главных героев, и я думаю, каждый сам для себя сделает вывод. 7/10 за игру.",7
"Герои на высшем уровне, атмосфера напрягающая. Это шедевр. 10/10. Долго ждал этого фильма и он оправдал ожидания. В конце чем-то напомнил ""Титаник"". На всем протяжении данной картины чувствовал волнение, местами радость. Советую к просмотру.",10
"Довольно своеобразный фильм, оставляющий двоякое впечатление. С одной стороны, атмосферная картинка с красивыми актерами, просторными залами и потрясающими видами космоса, но с другой - столько иногда глупых, иногда нестыкующихся и оставляющих вопросы к авторам моментов, что даже не знаешь, в какую сторону склониться. Мелодрамы не получилось, не зацепил, но несколько волнующие моменты все же были. Очень понравился бармен Артур, немного разбавил фильм. В общем, если отбросить все мысли о ляпах и возникающие на их фоне вопросы, то можно этим фильмом и насладиться. Оценку ставить не буду, потому что все никак не определюсь. ",7
"Как же у меня бомбит! Не могу не написать. Безусловно это очень романтичный фильм с красивой историей. Однако у меня как у инженера и программиста кровь из глаз идет от количества технических грехов! Не буду брать мелкие грешки, напишу только те от которых у меня раскалился пукан: Спойлер1) Когда на корабле случается ЧП первыми кого должен будить корабль - это члены экипажа, для оценки, анализа и устранения повреждений! С этим связан сразу второй грех;2) Как на такой огромный корабль можно было взять все что угодно кроме оборудования для введения в гибернацию, как раз на тот случай что бы экипаж мог проснуться в случае ЧП, устранить неполадки и снова заснуть!3) Даже у одноместного истребителя есть до 4-х дублирующих бортовых компьютеров, специально находящихся в разных местах, что бы в случае повреждения одного из них самолет не вышел из строя, а на таком огромном корабле достаточно одного!4) На таком огромном корабле нужно было разместить как минимум несколько термоядерных реакторов, с многоуровневой системой энергоснабжения на случай выведения из строя одного из них!5) На корабле повсеместно используется достаточно неплохой искусственный интеллект, с множеством обслуживающих роботов, для развлечения, однако не нашлось ни одного робота-ремонтника, который должен был сделать под управлением мощного ИИ несложный ремонт состоящий из замены поврежденных модулей, хотя такой корабль должен просто кишеть механическими ""пауками"", занимающимися мелким ремонтом.6) Завязывать все системы корабля, включая систему жизнеобеспечения, которая всегда и везде делается независимой и автономной, в единый бортовой компьютер и единую энергосистему - очень плохое решение.7) Тратить колоссальное количество энергии на создание искусственной гравитации - не разумно, так как ее можно создать крутящим моментом корабля, тогда ни кто не завис бы в воздухе даже если бы все отключилось, просто корабль продолжил бы вращение.",5
" СпойлерВот многие пишут что экшена мало, это наверно из разряда когда одна из капсул разбита, а на голове хеад краб сидит. Но здесь-то про человека, который оказался в одиночестве на пути к другой планете и три десятка лет пути уже прошло. И год без человеческого общения это только прелюдия к одиночеству в огромном космосе. Неужели бы и вы не захотели кого-то разбудить. Подумайте хорошо, прежде чем осуждать, ведь когда человек не в чужой ситуации, говорить он горазд. Присутствуют ляпы, спорить не буду, но фильм мне понравился, так что я закрою на них глаза. Время на просмотр потрачено не зря, сценарий интересный.",7
"Не зря я так долго ждала этот фильм в хорошем качестве, фильм стоящий. Интересный, смотрела с удовольствием. Смотрится легко и не принудительно. Выживание, стоять у выбора, принять решение... любовь и ненависть, и снова любовь и в стократ сильнее чувства. К просмотру рекомендую, 9/10.",9
"Фильм понравился, но чувство незаконченности оставило след. Хотелось бы посмотреть лишние 10-15 минут как там все получилось, как закончилась история. А авторы хотят чтобы мы сами до представляли как все случилось. Фильм хорош, безусловно, но его очень мало).",9
"Великолепный фильм, удачный подбор актеров и потрясающая их игра. Посмотрел с удовольствием. Музыку подобрали довольно точно.  СпойлерА что бы сделал каждый мужчина из нас в такой ситуации. Так бы и поступил. Разбудил женщину, спас людей и прожил счастливую жизнь. Я чертов романтик. Приятного просмотра!",10
"Очень понравилась задумка фильма, тема космоса - это всегда интересно и захватывающе. Хорошая игра актеров (дуэт Дженнифер Лоуренс и Криса Пратта получился весьма достойным), любители спецэффектов тоже смогут насладиться зрелищем сполна). Не могу сказать, что это самый лучший фильм из всех, которые я смотрела, но он довольно-таки неплохой по-своему. Как на меня, концовка предсказуема и немного банальна, но этот фильм достоин того, чтобы вы его посмотрели. И поверьте мне - вы не пожалеете!",10
"Картина заставляет задуматься: ""А я бы на месте главного героя поступил как он?"". Даже и не знаю что сказать. Фильм хороший, и атмосферный, и в конце оставляет небольшую печаль, хоть и кончается положительно. Рекомендую к просмотру тем, кто любит не эффекты и экшн, а тем, кто любит подумать о жизни и любви в нестандартной ситуации. Ставлю 8 из 10, из-за сжатого финала.",8
"Невероятный фильм. Актёры безупречны. И всё остальное не хуже. Любовь в таких необыкновенных обстоятельствах).  СпойлерЯ бы хотела другую концовку. Но это было бы уже тогда прям сказочной фантастикой. Пусть бы они долетели до планеты, вместе. Хотя и данная концовка хороша. Я бы номинировала его на высшую награду. 10 из 10.",10
" СпойлерФильм нравился ровно до момента, пока герою не пришло в голову разбудить себе подружку: сразу захотелось выключить и отплеваться. Ну ё-моё. Оставила в фоновом режиме чисто ""для галочки"", чтоб знать, чем кончилось. Снова посмотрела на экран только благодаря Фишборну. В целом... актёры отбили свои гонорары до последнего цента: их переживаниям веришь, и на эффекты создатели не поскупились... Но что-то в этом фильме не то. Даже при самом лояльном отношении - 6 из 10, явно на один раз и без желания порекомендовать друзьям как ленту, стоящую просмотра. Спасибо.",6
